"date","location","new_cases","new_deaths","new_recovered","new_cases_7davg"
2020-01-22,"US",1,0,0,NA
2020-01-23,"US",1,0,0,NA
2020-01-24,"US",1,0,0,NA
2020-01-24,"US",1,0,0,NA
2020-01-25,"US",1,0,0,NA
2020-01-25,"US",1,0,0,NA
2020-01-26,"US",1,0,0,1
2020-01-26,"US",1,0,0,1
2020-01-26,"US",2,0,0,1.14285714285714
2020-01-26,"US",1,0,0,1.14285714285714
2020-01-27,"US",1,0,0,1.14285714285714
2020-01-27,"US",1,0,0,1.14285714285714
2020-01-27,"US",2,0,0,1.28571428571429
2020-01-27,"US",1,0,0,1.28571428571429
2020-01-28,"US",1,0,0,1.28571428571429
2020-01-28,"US",1,0,0,1.14285714285714
2020-01-28,"US",2,0,0,1.28571428571429
2020-01-28,"US",1,0,0,1.28571428571429
2020-01-29,"US",1,0,0,1.28571428571429
2020-01-29,"US",1,0,0,1.14285714285714
2020-01-29,"US",2,0,0,1.28571428571429
2020-01-29,"US",1,0,0,1.28571428571429
2020-01-30,"US",1,0,0,1.28571428571429
2020-01-30,"US",1,0,0,1.14285714285714
2020-01-30,"US",2,0,0,1.28571428571429
2020-01-30,"US",1,0,0,1.28571428571429
2020-01-30,"India",1,0,0,NA
2020-01-31,"US",2,0,0,1.42857142857143
2020-01-31,"US",2,0,0,1.42857142857143
2020-01-31,"US",1,0,0,1.42857142857143
2020-01-31,"US",1,0,0,1.42857142857143
2020-01-31,"India",1,0,0,NA
2020-02-01,"US",2,0,0,1.57142857142857
2020-02-01,"India",1,0,0,NA
2020-02-01,"US",1,0,0,1.42857142857143
2020-02-01,"US",1,0,0,1.42857142857143
2020-02-01,"US",1,0,0,1.28571428571429
2020-02-01,"US",1,0,0,1.14285714285714
2020-02-01,"US",1,0,0,1.14285714285714
2020-02-01,"US",1,0,0,1.14285714285714
2020-02-02,"India",2,0,0,NA
2020-02-02,"US",2,0,0,1.14285714285714
2020-02-02,"US",1,0,0,1.14285714285714
2020-02-02,"US",1,0,0,1.14285714285714
2020-02-02,"US",1,0,0,1.14285714285714
2020-02-02,"US",1,0,0,1.14285714285714
2020-02-02,"US",1,0,0,1.14285714285714
2020-02-02,"US",1,0,0,1.14285714285714
2020-02-03,"India",3,0,0,NA
2020-02-03,"US",2,0,0,1.14285714285714
2020-02-03,"US",2,0,0,1.28571428571429
2020-02-03,"US",2,0,0,1.42857142857143
2020-02-03,"US",1,0,0,1.42857142857143
2020-02-03,"US",1,0,0,1.42857142857143
2020-02-03,"US",1,0,0,1.42857142857143
2020-02-03,"US",1,0,0,1.42857142857143
2020-02-03,"US",1,0,0,1.28571428571429
2020-02-04,"India",3,0,0,NA
2020-02-04,"US",2,0,0,1.28571428571429
2020-02-04,"US",2,0,0,1.28571428571429
2020-02-04,"US",2,0,0,1.42857142857143
2020-02-04,"US",1,0,0,1.42857142857143
2020-02-04,"US",1,0,0,1.42857142857143
2020-02-04,"US",1,0,0,1.42857142857143
2020-02-04,"US",1,0,0,1.42857142857143
2020-02-04,"US",1,0,0,1.28571428571429
2020-02-05,"India",3,0,0,2
2020-02-05,"US",2,0,0,1.28571428571429
2020-02-05,"US",2,0,0,1.28571428571429
2020-02-05,"US",2,0,0,1.42857142857143
2020-02-05,"US",1,0,0,1.42857142857143
2020-02-05,"US",1,0,0,1.42857142857143
2020-02-05,"US",1,0,0,1.42857142857143
2020-02-05,"US",1,0,0,1.42857142857143
2020-02-05,"US",1,0,0,1.28571428571429
2020-02-05,"US",1,0,0,1.14285714285714
2020-02-06,"India",3,0,0,2.28571428571429
2020-02-06,"US",2,0,0,1.14285714285714
2020-02-06,"US",2,0,0,1.28571428571429
2020-02-06,"US",2,0,0,1.42857142857143
2020-02-06,"US",1,0,0,1.42857142857143
2020-02-06,"US",1,0,0,1.42857142857143
2020-02-06,"US",1,0,0,1.42857142857143
2020-02-06,"US",1,0,0,1.42857142857143
2020-02-06,"US",1,0,0,1.28571428571429
2020-02-06,"US",1,0,0,1.14285714285714
2020-02-07,"India",3,0,0,2.57142857142857
2020-02-07,"US",2,0,0,1.14285714285714
2020-02-07,"US",2,0,0,1.28571428571429
2020-02-07,"US",2,0,0,1.42857142857143
2020-02-07,"US",1,0,0,1.42857142857143
2020-02-07,"US",1,0,0,1.42857142857143
2020-02-07,"US",1,0,0,1.42857142857143
2020-02-07,"US",1,0,0,1.42857142857143
2020-02-07,"US",1,0,0,1.28571428571429
2020-02-07,"US",1,0,0,1.14285714285714
